schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,clip_cards,clip_cards_insert,PERMISSIVE,{public},INSERT,null,"((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,clip_cards,clip_cards_select,PERMISSIVE,{public},SELECT,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = clip_cards.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,clip_cards,clip_cards_update,PERMISSIVE,{public},UPDATE,"((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))","((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,meal_plans,Clients can read assigned meal plans,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM meal_plan_assignments mpa
  WHERE ((mpa.meal_plan_id = meal_plans.id) AND (mpa.client_id = auth.uid()) AND (mpa.is_active = true))))",null
public,meal_plans,Clients can view assigned meal plans,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM meal_plan_assignments mpa
  WHERE ((mpa.meal_plan_id = meal_plans.id) AND (mpa.client_id = auth.uid()))))",null
public,meal_plans,Coaches can manage their meal plans,PERMISSIVE,{public},ALL,(auth.uid() = coach_id),null
public,meals,Clients can read meals from assigned meal plans,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM (meal_plan_assignments mpa
     JOIN meal_plans mp ON ((mp.id = mpa.meal_plan_id)))
  WHERE ((mp.id = meals.meal_plan_id) AND (mpa.client_id = auth.uid()) AND (mpa.is_active = true))))",null
public,meals,Clients can view meals from assigned meal plans,PERMISSIVE,{public},SELECT,"(auth.uid() IN ( SELECT meal_plan_assignments.client_id
   FROM meal_plan_assignments
  WHERE (meal_plan_assignments.meal_plan_id = meals.meal_plan_id)))",null
public,meals,Coaches can manage meals for their meal plans,PERMISSIVE,{public},ALL,"(auth.uid() IN ( SELECT meal_plans.coach_id
   FROM meal_plans
  WHERE (meal_plans.id = meals.meal_plan_id)))",null
public,meals,Coaches can manage meals in their meal plans,PERMISSIVE,{public},ALL,"(meal_plan_id IN ( SELECT meal_plans.id
   FROM meal_plans
  WHERE (meal_plans.coach_id = auth.uid())))",null
public,meals,Coaches can read meals from their meal plans,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM meal_plans mp
  WHERE ((mp.id = meals.meal_plan_id) AND (mp.coach_id = auth.uid()))))",null
public,workout_giant_set_exercise_logs,Users can insert their own giant set exercise logs,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM (workout_set_logs wsl
     JOIN workout_logs wl ON ((wsl.workout_log_id = wl.id)))
  WHERE ((wsl.id = workout_giant_set_exercise_logs.workout_set_log_id) AND (wl.client_id = auth.uid()))))"
public,workout_giant_set_exercise_logs,Users can read their own giant set exercise logs,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM (workout_set_logs wsl
     JOIN workout_logs wl ON ((wsl.workout_log_id = wl.id)))
  WHERE ((wsl.id = workout_giant_set_exercise_logs.workout_set_log_id) AND (wl.client_id = auth.uid()))))",null
public,foods,foods_delete_coach_admin,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text])))))",null
public,foods,foods_insert_coach_admin,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text])))))"
public,foods,foods_select_public,PERMISSIVE,{public},SELECT,(auth.role() = 'authenticated'::text),null
public,foods,foods_update_coach_admin,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text])))))","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text])))))"
public,meal_plan_assignments,Clients can read their own assignments,PERMISSIVE,{public},SELECT,(client_id = auth.uid()),null
public,meal_plan_assignments,Clients can view their own assignments,PERMISSIVE,{public},SELECT,(auth.uid() = client_id),null
public,meal_plan_assignments,Clients can view their own meal plan assignments,PERMISSIVE,{public},SELECT,(client_id = auth.uid()),null
public,meal_plan_assignments,Coaches can manage assignments for their clients,PERMISSIVE,{public},ALL,(auth.uid() = coach_id),null
public,meal_plan_assignments,Coaches can manage their meal plan assignments,PERMISSIVE,{public},ALL,(coach_id = auth.uid()),null
public,meal_plan_assignments,Coaches can manage their own assignments,PERMISSIVE,{public},ALL,(coach_id = auth.uid()),null
public,meal_plan_assignments,meal_plan_assignments_delete,PERMISSIVE,{public},DELETE,"((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,meal_plan_assignments,meal_plan_assignments_insert,PERMISSIVE,{public},INSERT,null,"((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,meal_plan_assignments,meal_plan_assignments_select,PERMISSIVE,{public},SELECT,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = meal_plan_assignments.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,meal_plan_assignments,meal_plan_assignments_update,PERMISSIVE,{public},UPDATE,"((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))","((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,challenge_scoring_categories,scoring_categories_select_all,PERMISSIVE,{public},SELECT,true,null
public,challenge_video_submissions,video_submissions_insert_own,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM challenge_participants
  WHERE ((challenge_participants.id = challenge_video_submissions.participant_id) AND (challenge_participants.client_id = auth.uid()))))"
public,challenge_video_submissions,video_submissions_manage_coach,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text, 'super_coach'::text, 'supercoach'::text])))))",null
public,challenge_video_submissions,video_submissions_select_own,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM challenge_participants
  WHERE ((challenge_participants.id = challenge_video_submissions.participant_id) AND (challenge_participants.client_id = auth.uid()))))",null
public,profiles,Coaches can read client profiles,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.coach_id = auth.uid()) AND (clients.client_id = profiles.id))))",null
public,profiles,Users can insert their own profile,PERMISSIVE,{public},INSERT,null,(auth.uid() = id)
public,profiles,Users can view their own profile,PERMISSIVE,{public},SELECT,(auth.uid() = id),null
public,profiles,profiles_select_own_or_coach,PERMISSIVE,{public},SELECT,"((id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = profiles.id) AND (clients.coach_id = auth.uid())))) OR is_admin(auth.uid()))",null
public,profiles,profiles_update_own,PERMISSIVE,{public},UPDATE,(id = auth.uid()),(id = auth.uid())
public,meal_food_items,Clients can view food items from assigned meals,PERMISSIVE,{public},SELECT,"(auth.uid() IN ( SELECT meal_plan_assignments.client_id
   FROM (meal_plan_assignments
     JOIN meals ON ((meal_plan_assignments.meal_plan_id = meals.meal_plan_id)))
  WHERE (meals.id = meal_food_items.meal_id)))",null
public,meal_food_items,Coaches can manage food items for their meals,PERMISSIVE,{public},ALL,"(auth.uid() IN ( SELECT meal_plans.coach_id
   FROM (meal_plans
     JOIN meals ON ((meal_plans.id = meals.meal_plan_id)))
  WHERE (meals.id = meal_food_items.meal_id)))",null
public,meal_food_items,Coaches can manage meal food items,PERMISSIVE,{public},ALL,"(meal_id IN ( SELECT m.id
   FROM (meals m
     JOIN meal_plans mp ON ((m.meal_plan_id = mp.id)))
  WHERE (mp.coach_id = auth.uid())))",null
public,workout_set_logs,Clients insert own set logs,PERMISSIVE,{public},INSERT,null,(auth.uid() = client_id)
public,workout_set_logs,Clients view own set logs,PERMISSIVE,{public},SELECT,(auth.uid() = client_id),null
public,exercise_categories,Anyone can read exercise categories,PERMISSIVE,{public},SELECT,(auth.role() = 'authenticated'::text),null
public,exercise_categories,Coaches can delete exercise categories,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text])))))",null
public,exercise_categories,Coaches can insert exercise categories,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text])))))"
public,exercise_categories,Coaches can update exercise categories,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text])))))","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text])))))"
public,invite_codes,Anyone can validate invite codes,PERMISSIVE,{public},SELECT,((is_active = true) AND ((expires_at IS NULL) OR (expires_at > now()))),null
public,invite_codes,Coaches can manage their invite codes,PERMISSIVE,{public},ALL,(coach_id = auth.uid()),null
public,meal_items,Clients can read assigned meal items,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM (meals m
     JOIN meal_plan_assignments mpa ON ((mpa.meal_plan_id = m.meal_plan_id)))
  WHERE ((m.id = meal_items.meal_id) AND (mpa.client_id = auth.uid()) AND (mpa.is_active = true))))",null
public,meal_items,Coaches can manage meal items,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM (meals m
     JOIN meal_plans mp ON ((mp.id = m.meal_plan_id)))
  WHERE ((m.id = meal_items.meal_id) AND (mp.coach_id = auth.uid()))))",null
public,program_schedule,Clients can view schedule for assigned programs,PERMISSIVE,{public},SELECT,"((EXISTS ( SELECT 1
   FROM program_assignments pa
  WHERE ((pa.program_id = program_schedule.program_id) AND (pa.client_id = auth.uid()) AND (pa.status = 'active'::text)))) OR (EXISTS ( SELECT 1
   FROM workout_programs wp
  WHERE ((wp.id = program_schedule.program_id) AND (wp.coach_id = auth.uid())))) OR is_admin(auth.uid()))",null
public,program_schedule,Coaches can delete schedules for their programs,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM workout_programs wp
  WHERE ((wp.id = program_schedule.program_id) AND (wp.coach_id = auth.uid()))))",null
public,program_schedule,Coaches can insert schedules for their programs,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM workout_programs wp
  WHERE ((wp.id = program_schedule.program_id) AND (wp.coach_id = auth.uid()))))"
public,program_schedule,Coaches can update schedules for their programs,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM workout_programs wp
  WHERE ((wp.id = program_schedule.program_id) AND (wp.coach_id = auth.uid()))))","(EXISTS ( SELECT 1
   FROM workout_programs wp
  WHERE ((wp.id = program_schedule.program_id) AND (wp.coach_id = auth.uid()))))"
public,program_schedule,Coaches can view schedules for their programs,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM workout_programs wp
  WHERE ((wp.id = program_schedule.program_id) AND (wp.coach_id = auth.uid()))))",null
public,daily_workout_cache,Clients can manage their workout cache,PERMISSIVE,{public},ALL,(client_id = auth.uid()),null
public,clipcard_types,Clients can view clipcard types,PERMISSIVE,{public},SELECT,(is_active = true),null
public,clipcard_types,Coaches can view their own clipcard types,PERMISSIVE,{public},SELECT,(auth.uid() = coach_id),null
public,clipcard_types,clipcard_types_delete,PERMISSIVE,{public},DELETE,(auth.uid() = coach_id),null
public,clipcard_types,clipcard_types_insert,PERMISSIVE,{public},INSERT,null,(auth.uid() = coach_id)
public,clipcard_types,clipcard_types_update,PERMISSIVE,{public},UPDATE,(coach_id = auth.uid()),(coach_id = auth.uid())
public,workout_block_exercises,Clients can read assigned workout block exercises,PERMISSIVE,{authenticated},SELECT,"(block_id IN ( SELECT workout_blocks.id
   FROM workout_blocks
  WHERE (workout_blocks.template_id IN ( SELECT workout_assignments.workout_template_id
           FROM workout_assignments
          WHERE (workout_assignments.client_id = auth.uid())))))",null
public,workout_block_exercises,Clients can view exercises in assigned workouts,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM ((workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
     JOIN workout_assignments wa ON ((wt.id = wa.workout_template_id)))
  WHERE ((wb.id = workout_block_exercises.block_id) AND (wa.client_id = auth.uid()))))",null
public,workout_block_exercises,Coaches can delete exercises from their blocks,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_block_exercises.block_id) AND (wt.coach_id = auth.uid()))))",null
public,workout_block_exercises,Coaches can insert exercises into their blocks,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_block_exercises.block_id) AND (wt.coach_id = auth.uid()))))"
public,workout_block_exercises,Coaches can update exercises in their blocks,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_block_exercises.block_id) AND (wt.coach_id = auth.uid()))))","(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_block_exercises.block_id) AND (wt.coach_id = auth.uid()))))"
public,workout_block_exercises,Coaches can view exercises in their blocks,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_block_exercises.block_id) AND (wt.coach_id = auth.uid()))))",null
public,coach_availability,Clients can view coach availability,PERMISSIVE,{public},SELECT,(is_active = true),null
public,coach_availability,Coaches can manage their own availability,PERMISSIVE,{public},ALL,(auth.uid() = coach_id),null
public,workout_cluster_sets,Clients can view cluster sets in assigned workouts,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM ((workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
     JOIN workout_assignments wa ON ((wt.id = wa.workout_template_id)))
  WHERE ((wb.id = workout_cluster_sets.block_id) AND (wa.client_id = auth.uid()))))",null
public,workout_cluster_sets,Coaches can delete cluster sets from their blocks,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_cluster_sets.block_id) AND (wt.coach_id = auth.uid()))))",null
public,workout_cluster_sets,Coaches can insert cluster sets into their blocks,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_cluster_sets.block_id) AND (wt.coach_id = auth.uid()))))"
public,workout_cluster_sets,Coaches can update cluster sets in their blocks,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_cluster_sets.block_id) AND (wt.coach_id = auth.uid()))))","(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_cluster_sets.block_id) AND (wt.coach_id = auth.uid()))))"
public,workout_cluster_sets,Coaches can view cluster sets in their blocks,PERMISSIVE,{public},SELECT,"((EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_cluster_sets.block_id) AND (wt.coach_id = auth.uid())))) OR is_admin(auth.uid()))",null
public,workout_templates,Clients can view assigned workout templates,PERMISSIVE,{public},SELECT,"((EXISTS ( SELECT 1
   FROM workout_assignments wa
  WHERE ((wa.workout_template_id = workout_templates.id) AND (wa.client_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM (program_assignments pa
     JOIN program_schedule ps ON ((pa.program_id = ps.program_id)))
  WHERE ((ps.template_id = workout_templates.id) AND (pa.client_id = auth.uid()) AND (pa.status = 'active'::text)))) OR (coach_id = auth.uid()) OR is_admin(auth.uid()))",null
public,workout_templates,Coaches can manage workout templates,PERMISSIVE,{public},ALL,(coach_id = auth.uid()),null
public,workout_blocks,Clients can read assigned workout blocks,PERMISSIVE,{authenticated},SELECT,"(template_id IN ( SELECT workout_assignments.workout_template_id
   FROM workout_assignments
  WHERE (workout_assignments.client_id = auth.uid())))",null
public,workout_blocks,Clients can view blocks in assigned workouts,PERMISSIVE,{public},SELECT,"((EXISTS ( SELECT 1
   FROM (workout_assignments wa
     JOIN workout_templates wt ON ((wa.workout_template_id = wt.id)))
  WHERE ((wt.id = workout_blocks.template_id) AND (wa.client_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM (program_assignments pa
     JOIN program_schedule ps ON ((pa.program_id = ps.program_id)))
  WHERE ((ps.template_id = workout_blocks.template_id) AND (pa.client_id = auth.uid()) AND (pa.status = 'active'::text)))) OR (EXISTS ( SELECT 1
   FROM workout_templates wt
  WHERE ((wt.id = workout_blocks.template_id) AND (wt.coach_id = auth.uid())))) OR is_admin(auth.uid()))",null
public,workout_blocks,Coaches can delete blocks from their templates,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM workout_templates wt
  WHERE ((wt.id = workout_blocks.template_id) AND (wt.coach_id = auth.uid()))))",null
public,workout_blocks,Coaches can insert blocks into their templates,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM workout_templates wt
  WHERE ((wt.id = workout_blocks.template_id) AND (wt.coach_id = auth.uid()))))"
public,workout_blocks,Coaches can manage workout blocks,PERMISSIVE,{public},ALL,"(template_id IN ( SELECT workout_templates.id
   FROM workout_templates
  WHERE (workout_templates.coach_id = auth.uid())))",null
public,workout_blocks,Coaches can update blocks in their templates,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM workout_templates wt
  WHERE ((wt.id = workout_blocks.template_id) AND (wt.coach_id = auth.uid()))))","(EXISTS ( SELECT 1
   FROM workout_templates wt
  WHERE ((wt.id = workout_blocks.template_id) AND (wt.coach_id = auth.uid()))))"
public,workout_blocks,Coaches can view blocks in their templates,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM workout_templates wt
  WHERE ((wt.id = workout_blocks.template_id) AND (wt.coach_id = auth.uid()))))",null
public,clipcards,Clients can view their own clipcards,PERMISSIVE,{public},SELECT,(auth.uid() = client_id),null
public,clipcards,Coaches can manage their clients' clipcards,PERMISSIVE,{public},ALL,(auth.uid() = coach_id),null
public,clipcards,Coaches can view their clipcards,PERMISSIVE,{public},SELECT,(auth.uid() = coach_id),null
public,clipcards,clipcards_delete,PERMISSIVE,{public},DELETE,(auth.uid() = coach_id),null
public,clipcards,clipcards_insert,PERMISSIVE,{public},INSERT,null,(auth.uid() = coach_id)
public,clipcards,clipcards_select,PERMISSIVE,{public},SELECT,((auth.uid() = coach_id) OR (auth.uid() = client_id)),null
public,clipcards,clipcards_update,PERMISSIVE,{public},UPDATE,(coach_id = auth.uid()),(coach_id = auth.uid())
public,program_days,program_days_delete,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM (workout_programs wp
     JOIN profiles p ON ((wp.coach_id = p.id)))
  WHERE ((wp.id = program_days.program_id) AND (p.id = auth.uid()) AND (p.role = ANY (ARRAY['coach'::text, 'admin'::text])))))",null
public,program_days,program_days_insert,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM (workout_programs wp
     JOIN profiles p ON ((wp.coach_id = p.id)))
  WHERE ((wp.id = program_days.program_id) AND (p.id = auth.uid()) AND (p.role = ANY (ARRAY['coach'::text, 'admin'::text])))))"
public,program_days,program_days_select,PERMISSIVE,{public},SELECT,(auth.role() = 'authenticated'::text),null
